-0.9217,8.8953,0.9672,2514,1
2.904,7.8526,0.3735,3014,1
3.2596,9.4316,-0.4896,3514,1
-2.1092,8.8199,1.8722,4014,1
-1.4317,10.8465,0.6955,4514,1
-1.8171,11.8137,1.3203,5014,1
3.6007,9.0246,0.2322,5515,1
-1.0414,9.7404,1.0642,6014,1
-1.4436,10.042,-0.7158,6515,1
-0.5243,9.0892,0.1939,7015,1
-0.9445,8.4739,-0.4585,7515,1
5.0468,8.8821,-0.8894,8014,1
2.9388,8.9336,-0.9205,8514,1
-2.6024,9.3502,2.2912,9014,1
-1.7273,13.3902,-0.8463,9514,1
-1.7812,8.1902,0.3507,10014,1
4.9438,8.8905,-0.5806,10515,1
0.4645,9.2281,0.7829,11016,1
-2.7807,10.303,0.5075,11514,1
-2.8059,12.2087,0.4752,12015,1
-0.2586,7.1655,1.0055,12514,1
4.8169,8.4823,-0.9672,13015,1
-1.1611,9.9511,0.4321,13514,1
-1.9117,12.2243,0.6261,14014,1
-1.5789,9.4974,-0.0036,14515,1
3.9646,9.1323,0.0156,15015,1
1.13,7.2003,1.3467,15514,1
-2.0158,12.0411,1.3814,16015,1
-1.3239,14.2509,0.6859,16514,1
5.6968,7.0147,-0.3005,17015,1
3.1686,6.883,-0.2502,17514,1
-0.826,10.704,2.1942,18014,1
-0.7649,9.5321,1.7656,18515,1
-1.689,6.4844,-0.4633,19013,1
4.5811,8.7971,-1.1145,19514,1
-0.474,8.4631,1.8435,20014,1
-0.7841,10.3724,0.7829,20513,1
-2.0122,10.3952,1.2497,21015,1
-1.1599,8.5362,1.0199,21514,1
3.4164,9.0078,-0.474,22016,1
-2.3606,10.455,2.5054,22515,1
-1.306,10.2132,0.8703,23014,1
-0.9995,8.0765,0.6404,23515,1
6.8794,6.1313,0.2885,24015,1
1.4041,6.5335,-0.0682,24514,1
-2.6132,9.4603,0.3914,25014,1
-2.108,9.2843,0.7266,25514,1
-0.6715,8.5852,0.668,26015,1
4.2328,8.6559,0.0275,26514,1
0.4597,7.533,2.527,27016,1
-2.6431,9.1431,2.8729,27514,1
